Date,Open,High,Low,Close,Volume,OpenInt
20000316,113.68025,120.54002,109.76004,115.69896,2021527,0
20000317,116.92397,124.46013,115.75782,118.69779,1141426,0
20000320,118.03135,119.07014,110.74007,111.47521,1036937,0
20000321,108.53513,112.70021,103.63511,112.70021,1845406,0
20000322,111.28899,118.52141,106.87894,117.05141,1436425,0
20000323,116.86519,121.27527,114.66007,117.29640,1424692,0
20000324,116.37524,118.58007,113.92512,117.60024,898161,0
20000327,115.82642,117.11019,110.92639,111.96517,618061,0
20000328,111.72029,119.50143,111.23014,116.73785,1016426,0
20000329,116.62022,118.58007,107.80019,109.76004,912653,0
20000330,106.02636,110.25010,97.13774,102.90016,1484794,0
20000331,103.88019,103.88019,88.20008,101.92013,2724689,0
20000403,100.94011,101.18519,89.91506,96.04018,1482344,0
20000404,96.04018,100.33253,80.36018,91.63013,2569180,0
20000405,90.89528,97.88261,88.31780,95.00150,1539488,0
20000406,96.41253,102.90016,95.11902,102.90016,1003672,0
20000407,105.35008,122.50017,104.91898,119.56020,2171630,0
20000410,119.56020,119.56020,103.27260,104.97784,2157650,0
20000411,98.98006,102.78254,97.56893,98.92140,1383976,0
20000412,96.04018,97.26520,81.34010,84.28018,3176220,0
20000413,86.24013,95.06016,85.26011,88.20008,2727342,0
20000414,85.99515,87.65126,79.38015,81.03636,2089487,0
20000417,78.45890,80.96787,71.59902,77.91007,2012752,0
20000418,76.44017,86.24013,73.61772,85.26011,2743159,0
20000419,85.26011,88.14132,82.32012,85.50519,1769283,0
20000420,86.12240,89.91506,85.63255,88.14132,1060610,0
20000424,85.37773,90.53248,83.35892,89.78780,1239795,0
20000425,92.72768,93.64893,88.20008,88.20008,819896,0
20000426,93.21783,93.28632,89.78780,90.04250,712753,0
20000427,87.33778,91.38524,87.22015,88.93512,1665100,0
20000428,88.20008,88.25895,85.20144,86.84772,1298774,0
20000501,86.84772,94.32512,86.84772,93.47265,1383672,0
20000502,96.28517,102.03776,95.49136,98.75464,3108974,0
20000503,95.55012,96.04018,87.82765,89.67017,1698773,0
20000504,89.67017,89.67017,86.48521,88.44507,867348,0
20000505,88.38630,91.57125,87.82765,89.61121,922141,0
20000508,90.04250,90.04250,82.86885,83.05517,787039,0
20000509,83.79022,84.77004,76.98890,78.58634,1254385,0
20000510,77.42000,78.09649,74.23504,75.46005,1168876,0
20000511,75.95012,77.79254,74.48023,75.02895,1227651,0
20000512,82.32012,96.04018,80.60516,88.74900,9901820,0
20000515,88.20008,89.18011,83.41758,86.42625,3242852,0
20000516,88.31780,95.00150,86.24013,86.73010,4212134,0
20000517,81.58519,82.07515,75.27394,76.44017,9087843,0
20000518,76.44017,77.36134,69.58020,69.58020,4491421,0
20000519,71.23631,73.19626,64.79780,65.28776,3840097,0
20000522,65.66019,66.64003,58.74126,61.13251,5708359,0
20000523,60.70141,61.98519,55.42885,56.84007,3806220,0
20000524,56.59499,58.74126,52.92007,57.82010,5808052,0
20000525,58.06508,67.37507,57.08516,67.37507,5604276,0
20000526,65.66019,67.12999,63.02396,63.70006,3617648,0
20000530,64.86629,74.91132,64.73894,73.87254,3896831,0
20000531,72.52017,76.62629,71.29517,72.14775,3217648,0
20000601,72.95138,74.78397,71.29517,71.54005,2881832,0
20000602,72.03012,80.36018,72.03012,80.11510,12471408,0
20000605,79.38015,82.07515,74.97009,77.42000,7768457,0
20000606,73.68641,73.99016,67.67902,69.58020,8890802,0
20000607,68.60008,70.80511,64.19011,65.66019,8337232,0
20000608,65.66019,68.41376,65.47388,67.73768,6986112,0
20000609,68.35509,71.35393,68.35509,69.46257,6766316,0
20000612,71.16771,71.16771,63.94503,64.68017,4142137,0
20000613,63.20999,70.31505,63.20999,67.67902,5633664,0
20000614,69.33521,70.07016,65.66019,66.39514,4095402,0
20000615,66.58136,66.58136,63.51394,64.62131,4961726,0
20000616,64.86629,65.22881,60.76008,61.36776,4735400,0
20000620,67.56129,74.36250,67.01246,72.14775,8553150,0
20000621,71.91259,78.34127,71.84400,76.93015,6552848,0
20000622,78.15504,78.21392,72.89251,74.23504,4914992,0
20000623,72.46131,75.95012,72.40255,73.61772,2897343,0
20000626,73.50020,74.78397,72.57884,73.61772,2791425,0
20000627,73.38247,75.27394,72.63770,73.93120,2999996,0
20000628,77.17512,78.58634,76.19510,77.91007,7222539,0
20000629,78.28250,78.34127,73.50020,74.36250,6321521,0
20000630,75.15621,77.91007,72.18695,72.27509,6043767,0
20000703,72.52017,72.70629,70.31505,72.21634,2332546,0
20000705,70.67765,71.23631,68.22764,68.84516,3941421,0
20000706,68.60008,69.03137,66.94397,67.73768,3066628,0
20000707,68.60008,69.03137,65.41512,66.15027,4373769,0
20000710,66.39514,68.84516,66.26769,67.12999,3914280,0
20000711,66.64003,67.18894,64.79780,65.96395,3048566,0
20000712,68.05126,69.20777,66.69899,67.62005,2768158,0
20000713,67.62005,71.04999,67.37507,69.58020,4263053,0
20000714,70.07016,76.68516,70.07016,75.51901,5549888,0
20000717,75.34252,79.32119,74.72511,76.68516,4500707,0
20000718,76.44017,76.44017,72.52017,75.08772,2672547,0
20000719,74.48023,74.53889,71.29517,72.57884,2583158,0
20000720,72.40255,74.78397,52.92007,52.92007,2592342,0
20000721,50.47015,50.47015,45.32505,47.09878,26599243,0
20000724,48.99998,49.18619,46.79503,48.51010,10209268,0
20000725,48.07891,48.51010,43.85505,43.85505,6668254,0
20000726,45.02131,45.68765,41.95397,42.14009,8310191,0
20000727,43.36520,44.04117,39.57245,39.93506,7189276,0
20000728,40.91508,41.04244,38.71005,40.42512,7019478,0
20000731,40.23880,41.34628,39.31765,39.93506,5878052,0
20000801,39.87619,40.36626,38.71005,39.69007,4329074,0
20000802,39.31765,40.36626,38.71005,39.31765,4926012,0
20000803,38.33762,40.18004,37.78889,40.18004,6271418,0
20000804,39.69007,40.61124,38.82768,39.25887,3760811,0
20000807,39.80760,40.42512,38.16132,38.95512,4058871,0
20000808,38.89627,38.89627,37.42627,38.03378,3734280,0
20000809,37.97500,39.08239,37.73003,38.52383,3416320,0
20000810,38.27885,39.01390,37.91635,38.22000,2279996,0
20000811,38.95512,39.99382,38.16132,39.80760,2504485,0
20000814,41.16007,42.68882,40.67021,42.63005,4040810,0
20000815,42.87513,43.36520,41.65003,41.65003,3275403,0
20000816,41.89491,42.63005,40.78762,42.63005,2292852,0
20000817,42.25762,46.30497,42.25762,45.57003,6957745,0
20000818,56.59499,56.95770,53.95906,55.25256,12980387,0
20000821,57.08516,59.29008,56.16389,59.29008,6259787,0
20000822,59.17255,59.29008,57.87896,59.29008,3628770,0
20000823,58.68250,59.34896,58.12384,59.29008,2382139,0
20000824,59.17255,59.47640,57.93763,58.55513,2212343,0
20000825,58.49618,58.85889,56.89884,57.33014,1783976,0
20000828,57.14391,57.70258,56.10503,57.44766,2707138,0
20000829,57.44766,62.72012,57.33014,61.74020,4386014,0
20000830,62.04384,62.66136,59.66252,60.15239,2525302,0
20000831,60.38773,60.87771,58.55513,59.78005,2539996,0
20000901,59.47640,61.43626,58.91775,60.64245,2290607,0
20000905,60.45633,61.25014,60.02503,60.57396,1492651,0
20000906,60.45633,61.13251,58.61391,58.80003,1631631,0
20000907,58.80003,60.87771,58.06508,60.64245,1549590,0
20000908,59.34896,59.83891,57.93763,58.06508,1471325,0
20000911,57.82010,57.82010,54.88013,55.61516,2174282,0
20000912,54.69391,56.72244,53.90000,53.90000,2065814,0
20000913,55.61516,55.61516,52.48887,53.90000,2571629,0
20000914,54.50768,56.10503,54.44883,54.63504,2605098,0
20000915,54.57628,57.63389,54.50768,55.86005,2753771,0
20000918,55.97778,56.53633,51.45008,52.92007,3452952,0
20000919,52.48887,52.92007,50.96012,52.80245,2334281,0
20000920,52.48887,52.80245,50.71504,51.45008,1436529,0
20000921,51.56770,51.56770,46.06009,47.04002,2138465,0
20000922,47.09878,48.99998,46.92250,48.99998,2514691,0
20000925,49.24515,50.90126,47.22623,47.34376,1743365,0
20000926,47.53008,48.32388,44.21768,44.28626,2226323,0
20000927,45.26628,45.81491,43.49245,45.08007,2858874,0
20000928,45.13893,47.47133,45.13893,46.99108,3083567,0
20000929,47.34376,48.75508,46.85390,47.96128,2684178,0
20001002,48.13767,50.35253,48.13767,49.54900,2195712,0
20001003,49.98010,54.39005,49.30381,52.05777,4055401,0
20001004,51.82243,57.44766,51.45008,56.72244,4037239,0
20001005,56.78131,56.78131,53.52756,54.01762,2918771,0
20001006,54.69391,54.82125,50.16631,51.14623,2037752,0
20001009,51.07775,51.07775,49.11760,49.67635,1577752,0
20001010,50.58778,51.88138,47.41245,48.56888,2255710,0
20001011,47.04002,47.34376,43.91383,44.89385,4034790,0
20001012,45.87397,46.17772,42.44383,43.85505,3048566,0
20001013,42.63005,44.15890,41.95397,43.49245,3704585,0
20001016,43.98252,47.71630,43.66885,45.51127,3034382,0
20001017,45.62890,45.68765,41.76766,42.44383,2104487,0
20001018,39.74885,41.59116,38.46507,40.06261,4115095,0
20001019,41.65003,44.04117,41.46391,42.87513,3357444,0
20001020,42.87513,46.73628,42.81627,45.62890,3396728,0
20001023,45.62890,50.84259,44.59010,50.03895,3675197,0
20001024,50.03895,50.22497,46.55016,47.09878,2639383,0
20001025,43.98252,44.40378,41.40494,41.76766,3845504,0
20001026,41.76766,43.66885,41.16007,43.12002,4656115,0
20001027,44.96244,46.30497,44.04117,44.83519,3304382,0
20001030,43.91383,45.08007,42.87513,44.59010,1984997,0
20001031,44.70763,46.66769,44.70763,45.38391,2856119,0
20001101,45.08007,46.36403,44.64887,45.87397,2480302,0
20001102,46.17772,47.71630,45.94257,47.15775,2505608,0
20001103,46.66769,46.73628,44.89385,45.87397,1734793,0
20001106,46.00123,46.00123,44.96244,45.45250,1726835,0
20001107,44.70763,45.38391,44.64887,45.02131,1599590,0
20001108,45.02131,46.30497,43.06135,43.49245,1741833,0
20001109,43.72761,43.72761,40.72887,42.68882,2895811,0
20001110,41.16007,41.89491,38.52383,38.65139,3620402,0
20001113,38.40630,39.93506,37.29883,38.52383,4362851,0
20001114,39.57245,42.19886,39.44510,41.76766,2885403,0
20001115,41.89491,43.23774,41.40494,42.51242,1758977,0
20001116,42.08123,42.81627,40.42512,40.78762,2024691,0
20001117,43.12002,46.55016,42.93390,46.43253,5742951,0
20001120,45.94257,46.00123,42.93390,43.72761,3022547,0
